hour,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE
0,41,99,8,0,57,79,42,19,32,28,11,314,345,4,18
1,31,77,9,0,34,60,32,10,12,16,14,261,293,1,9
2,24,94,4,0,37,85,22,14,35,10,12,268,258,2,7
3,24,117,9,2,32,56,11,18,12,16,11,283,263,5,15
4,44,139,1,0,116,97,10,12,12,12,12,628,381,5,8
5,35,436,10,0,350,67,31,14,20,29,10,1035,530,6,6
6,1,13,0,0,18,4,4,1,6,13,0,82,46,0,2
19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
20,24,655,1,0,106,74,68,17,201,28,5,153,409,8,51
21,101,1969,19,0,182,84,190,41,106,96,44,280,1057,27,69
22,59,733,8,0,148,82,73,16,31,59,15,300,584,11,67
23,49,215,5,0,81,82,54,21,44,27,18,356,474,5,29
